UniProt	Genes of a reaction from All instances of Reactions in Prochlorococcus marinus pastoris CCMP1986	Matches	EC-Number	Accession-1	Accession-2	Gene products (polypeptides and RNAs only)
Q7V2E7	aarA	octadecanal + acyl-carrier protein + NAD(P)+  <-  stearoyl-[acp] + NAD(P)H + H+ // a long-chain fatty aldehyde + acyl-carrier protein + NAD(P)+  <-  long-chain fatty acyl-[acyl-carrier protein] + NAD(P)H + H+	EC-1.2.1.80	PMM0533	TX50_RS02855	long-chain acyl-[acyl-carrier-protein] reductase
Q7V2E6	accA	acetyl-CoA + a [carboxyl-carrier protein dimer]-N6-carboxybiotinyl-L-lysine  ->  malonyl-CoA + a [biotin carboxyl-carrier-protein dimer]-N6-biotinyl-L-lysine	EC-2.1.3.15	PMM0534	TX50_RS02860	acetyl-CoA carboxylase carboxyltransferase subunit alpha
Q7TUH9	accB	ATP + acetyl-CoA + hydrogencarbonate  ->  ADP + malonyl-CoA + phosphate + H+	EC-6.4.1.2	PMM0027	TX50_RS00150	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
Q7V3L5	accC	a [biotin carboxyl-carrier-protein dimer]-N6-biotinyl-L-lysine + hydrogencarbonate + ATP  ->  a [carboxyl-carrier protein dimer]-N6-carboxybiotinyl-L-lysine + ADP + phosphate + H+	EC-6.3.4.14	PMM0060	TX50_RS00320	acetyl-CoA carboxylase biotin carboxylase subunit
Q7V1S1	accD	acetyl-CoA + a [carboxyl-carrier protein dimer]-N6-carboxybiotinyl-L-lysine  ->  malonyl-CoA + a [biotin carboxyl-carrier-protein dimer]-N6-biotinyl-L-lysine	EC-2.1.3.15	PMM0784	TX50_RS04185	acetyl-CoA carboxylase carboxyltransferase subunit beta
Q7V2R4	aceF	pyruvate + coenzyme A + NAD+  ->  acetyl-CoA + CO2 + NADH // acetyl-CoA + dihydrolipoamide  ->  coenzyme A + S-acetyldihydrolipoamide // acetyl-CoA + a [pyruvate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine  <-  coenzyme A + a [pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine	EC-1.2.1.104 // EC-2.3.1.12	PMM0405	TX50_RS02180	Dihydrolipoamide S-acetyltransferase
Q7UZG7	acnB	citrate  <-->  D-threo-isocitrate // citrate  <-->  cis-aconitate + H2O // cis-aconitate hydratase // (2R,3S)-2-methylisocitrate  =  cis-2-methylaconitate + H2O	EC-4.2.1.3 // EC-4.2.1.99	PMM1700	TX50_RS09075	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
Q7V0H0	acoA	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating) // pyruvate + coenzyme A + NAD+  ->  acetyl-CoA + CO2 + NADH // pyruvate + a [pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+  ->  a [pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine + CO2 // 2-(&alpha;-hydroxyethyl)-TPP:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine acetyltransferase	EC-1.2.1.104 // EC-1.2.4.1	PMM1288	TX50_RS06910	Pyruvate dehydrogenase E1 component alpha subunit
Q7V1E4	acoB	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating) // pyruvate + coenzyme A + NAD+  ->  acetyl-CoA + CO2 + NADH // pyruvate + a [pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+  ->  a [pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine + CO2 // 2-(&alpha;-hydroxyethyl)-TPP:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine acetyltransferase	EC-1.2.1.104 // EC-1.2.4.1	PMM0930	TX50_RS04960	Pyruvate dehydrogenase E1 component beta subunit
Q7UZQ0	acpP	quinoxaline-2-carboxyl adenylate + aryl-carrier protein  ->  quinoxaline-2-carboxyl-[aryl-carrier protein] + AMP + H+	EC-2.3.1	PMM1608	TX50_RS08605	acyl carrier protein
